c++,0.02096271151557613,1,257.2102803738317,68
sun microsystems,0.021513320912426786,2,361.9705882352941,136
apple inc.,0.022164634031323245,3,111.44295302013423,2
windows 8,0.023688160527047537,4,185.42592592592595,20
python (programming language),0.03564287440856844,48,55.19219440353461,4,step two
os x,0.03587169805119099,49,237.8468468468468,81,step two
posix,0.036304621064238526,50,258.13402061855675,90,step two
erlang (programming language),0.03635575940113287,51,258.99444444444447,91,step two
computer program,0.03640153903638163,52,259.7647058823529,92,step two
ocaml,0.03699023964687077,53,194.25619834710744,63,step two
html,0.03712391645552948,54,176.02366863905326,55,step two
computer science,0.03715254066005571,55,272.4006211180124,97,step two
object-oriented programming,0.0372400238254464,56,109.87269372693727,19,step two
virtual machine,0.037270359888230846,57,274.3829787234042,98,step two
bsd,0.03728474415468858,58,274.625,100,step two
pascal (programming language),0.0375592388060494,59,146.38826815642457,38,step two
imperative programming,0.037614651240248084,60,280.1758241758242,101,step two
gui,0.03771161197365271,61,281.8072289156627,102,step two
software framework,0.037880458860999854,62,284.64814814814815,103,step two
macos,0.03802822238158052,63,90.44909090909091,10,step two
steve jobs,0.038038712388264284,9,211.97368421052633,38
powerpc,0.038090285657587764,64,288.17857142857144,105,step two
cobol,0.0383682490715602,65,292.85542168674704,106,step two
debian,0.038486665419855265,66,294.84782608695656,107,step two
google chrome,0.03871926218859742,67,298.7613636363636,108,step two
scheme (programming language),0.03888242027602091,68,245.7020202020202,86,step two
firefox,0.03888894092464084,69,301.6162790697674,110,step two
google,0.038958097912971126,70,302.7798742138364,111,step two
data type,0.0389835307448845,71,303.2077922077922,112,step two
microsoft windows,0.03905517354519551,72,66.95693512304251,5,step two
arm architecture,0.03923085345068719,73,213.65602836879432,72,step two
software,0.039394725529462285,74,310.1263157894737,113,step two
central processing unit,0.03970617997846709,75,315.3666666666666,114,step two
free and open-source,0.03991077874128421,76,287.10625000000005,104,step two
microsoft,0.040209278605705084,77,130.4153354632588,30,step two
linux distribution,0.04037314360561471,78,326.5886075949367,120,step two
windows 10,0.04062086866335854,79,274.61764705882354,99,step two
bsd license,0.0406824524121081,80,331.79285714285714,122,step two
windows,0.040691066797364873,81,119.22868217054264,24,step two
just-in-time compilation,0.04078307745953737,82,333.48591549295776,123,step two
visual basic .net,0.04083460817052598,83,334.3529411764706,124,step two
application software,0.04085087172627806,84,334.62658227848107,126,step two
windows 7,0.04097024220388555,85,250.88260869565218,88,step two
qt (framework),0.0412891026401149,86,342.0,131,step two
windows 95,0.04147141701161579,10,380.2,141
ars technica,0.04156616946099892,87,346.6617647058823,133,step two
gnu general public license,0.04159489361153902,88,77.56333333333333,8,step two
next,0.04159716428798645,11,519.9583333333333,224
data structure,0.04165532029926444,89,348.1617647058823,134,step two
rust (programming language),0.04168718905288769,90,163.61986301369862,47,step two
parallel computing,0.04182960651462325,91,351.09420289855075,138,step two
assembly language,0.04187454867058786,92,153.42746113989637,42,step two
user interface,0.04192542303115226,93,257.2102803738317,89,step two
haskell (programming language),0.04199741065461734,94,136.15526315789472,34,step two
x86-64,0.04209729688483081,12,267.2391304347826,73
freeware,0.042112497341102756,95,191.78985507246375,62,step two
oracle corporation,0.042481354418020756,96,339.8066666666667,129,step two
clojure,0.04254046466681062,97,363.0546875,144,step two
porting,0.04268499594556964,98,365.48648648648646,146,step two
c (programming language),0.042703478036162285,13,306.4159292035398,101
aol,0.042718140133904674,14,286.2391304347826,87
procedural programming,0.0427580341444591,99,366.7153846153846,148,step two
database,0.04279085478892565,100,367.2676056338028,149,step two
macro (computer science),0.04286315738769185,101,368.484126984127,151,step two
scripting language,0.04302862828416503,102,239.7107843137255,84,step two
bsd licenses,0.04303808870909816,103,371.42741935483866,152,step two
linux kernel,0.0432595786175279,104,350.5925925925926,137,step two
opera (web browser),0.043265355909944056,15,310.39130434782606,105
commercial software,0.043359537993375094,105,376.8359375,158,step two
lua (programming language),0.04364870703884309,106,141.99122807017545,36,step two
openbsd,0.04371214258760017,107,382.76865671641787,160,step two
x86,0.0437916310796862,108,194.540625,64,step two
machine learning,0.043802830614039986,109,384.29452054794524,161,step two
mysql,0.04392117500795409,110,386.2857142857143,163,step two
utf-8,0.043981953238168434,111,387.3083333333333,165,step two
os/2,0.04407000566922144,112,358.8783783783784,142,step two
intel,0.04407429266688385,113,328.24347826086955,121,step two
llvm,0.04415934442680968,114,379.03333333333336,159,step two
algorithm,0.04418444120693263,115,390.71527777777777,167,step two
berkeley software distribution,0.04429195211180033,116,392.5241935483871,169,step two
windows xp,0.04431319827872632,117,271.01785714285717,95,step two
visual basic,0.04443572450699258,118,216.16355140186914,74,step two
unicode,0.044469538268147965,119,245.716,87,step two
r (programming language),0.0446139855850335,120,208.67672413793102,68,step two
gpl,0.04465727191226082,121,315.4657534246576,115,step two
debugger,0.044672142344822294,122,398.921052631579,171,step two
embedded system,0.044750913462305336,123,345.05128205128204,132,step two
generic programming,0.044777034440609084,124,335.85507246376807,128,step two
mozilla,0.0448113162671815,125,401.2627118644068,173,step two
ia-32,0.044852970009734525,16,311.09375000000006,106
machine code,0.04487207783061259,126,373.9307692307693,154,step two
objective-c,0.04490882216346388,127,128.80789473684212,27,step two
3d computer graphics,0.04516323097944746,128,407.18382352941177,174,step two
opengl,0.045331953747101694,129,167.08278145695365,49,step two
structured programming,0.045367497310192746,130,410.6206896551724,175,step two
netbsd,0.04541496509059664,131,411.4193548387097,176,step two
ars technica,0.04549850689109558,17,231.69135802469134,52
mips architecture,0.04549850805355192,132,412.82500000000005,177,step two
microsoft visual studio,0.04557578343462529,133,361.6290322580645,143,step two
eiffel (programming language),0.04565965494756822,134,415.53636363636366,178,step two
eclipse (software),0.04575582979127284,135,417.15454545454537,179,step two
high-level programming language,0.04602228109261776,136,373.3306451612903,153,step two
x86-64,0.04619529018679717,137,168.92105263157893,50,step two
portable network graphics,0.04622211569080706,138,425.00000000000006,182,step two
swift (programming language),0.04631742626213675,139,188.33599999999998,58,step two
free software foundation,0.046335347502627064,140,426.9051724137931,183,step two
mp3,0.04644051165967973,141,428.67460317460313,186,step two
html5,0.04647187820949022,142,325.6118421052632,119,step two
api,0.046564130775502435,143,226.2798165137615,76,step two
node.js,0.046759263508784225,144,434.0377358490566,190,step two
arm architecture,0.04688402621520594,18,205.04545454545453,35
sun microsystems,0.04696517595141959,145,267.587962962963,93,step two
c99,0.04702389054997932,146,438.4901960784314,192,step two
safari (web browser),0.047095410386246345,19,197.0795454545454,33
ruby (programming language),0.047142293127665894,147,95.91609589041097,13,step two
command-line interface,0.04734030020580397,148,323.52500000000003,118,step two
mathematica,0.047344367419561266,149,443.88235294117646,194,step two
adobe flash,0.04753395120904811,150,444.0357142857143,195,step two
solaris (operating system),0.047585124024658365,151,176.07055214723928,56,step two
run time (program lifecycle phase),0.04762056021261915,152,448.5294117647059,198,step two
gsm,0.04766457552599078,20,485.23214285714283,206
ecmascript,0.047753995127408716,153,450.77450980392155,200,step two
prolog,0.047804106056106986,154,451.61764705882354,202,step two
array data structure,0.04810943311003596,155,456.75490196078425,206,step two
windows 95,0.0481745711838151,156,457.85087719298247,207,step two
graphics processing unit,0.04821363824178766,157,458.5081967213115,208,step two
dos,0.04822896816294543,158,458.7661290322581,210,step two
clang,0.0483061359646319,159,440.49019607843144,193,step two
windows vista,0.04832173988659615,21,228.8620689655172,50
sparc,0.04844923570599573,160,462.4722222222222,211,step two
ram,0.04851835491853405,22,424.59523809523813,168
gnu lesser general public license,0.04863080086248933,161,164.5704697986577,48,step two
gnu,0.048807654012919297,162,386.3571428571429,164,step two
regular expression,0.0489406992148725,163,365.65625,147,step two
url,0.049024736297821836,23,407.1,156
c sharp (programming language),0.04913278301477077,24,384.0,143
java virtual machine,0.049244345970222494,164,399.3083333333333,172,step two
jpeg,0.049272868590195106,165,476.3301886792453,216,step two
type system,0.04948570925135033,166,374.74603174603175,155,step two
zdnet,0.04952172142891025,167,480.51724137931035,218,step two
the verge,0.049610583692941516,25,396.5,151
dynamic-link library,0.049690146526880696,168,483.3510638297872,219,step two
wi-fi,0.049741469623932534,26,347.93650793650795,129
distributed computing,0.04983866802977836,169,485.85,220,step two
internet explorer,0.049874923682917446,170,450.9152542372882,201,step two
apl (programming language),0.05013337161641353,171,490.80851063829783,221,step two
3d computer graphics,0.05016433259185375,27,410.962962962963,158
desktop environment,0.05034472285754389,172,494.36458333333337,223,step two
adobe flash,0.050365029004534566,28,236.38571428571427,56
techcrunch,0.05057161672159213,29,301.84375,96
multi-paradigm programming language,0.050580028792931615,173,437.712962962963,191,step two
ios,0.05078968689236643,174,212.60169491525426,70,step two
windows nt,0.05080898135094976,175,502.1759259259259,225,step two
html5,0.0508102893121595,30,247.0909090909091,63
text editor,0.050942195259240444,176,473.71568627450984,215,step two
megabyte,0.05100486904626981,177,419.50769230769237,181,step two
megabyte,0.0510357588258407,31,333.60937500000006,123
standard ml,0.05104154396978315,178,506.08888888888896,228,step two
personal computer,0.051105352856800956,179,507.1625,229,step two
scalable vector graphics,0.05114793585972249,180,456.656862745098,205,step two
open source software,0.05115512874149921,181,508.0,230,step two
component object model,0.051247559676780644,182,376.327868852459,157,step two
macintosh,0.05130413559583477,32,189.87878787878788,28
peer-to-peer,0.05140958009238206,183,512.28125,231,step two
postgresql,0.05164314703393047,184,516.2111111111111,233,step two
xml,0.051694496899323136,33,188.2058823529412,26
web application,0.05189743329066838,185,520.4895833333334,237,step two
http,0.052191345731194105,186,525.4347826086956,239,step two
lgpl,0.052202613322198436,187,448.87,199,step two
apple macintosh,0.052548990504691466,34,344.3,128
postscript,0.05262616514700752,188,513.8000000000001,232,step two
windows 2000,0.052647114702665865,189,530.2755102040817,241,step two
json,0.052699954046745295,190,363.29999999999995,145,step two
gnu project,0.05278550846553684,191,535.4318181818181,243,step two
relational database management system,0.052840010475540614,192,536.3488372093024,244,step two
debugging,0.05292965495078435,193,537.8571428571428,245,step two
file system,0.05300182467699929,194,539.0714285714286,247,step two
solaris (operating system),0.05304184338156685,35,390.5483870967742,146
infoworld,0.05311967728617638,195,541.0543478260869,249,step two
language binding,0.05312920070033382,196,530.6428571428571,242,step two
mac os x,0.05325633778227887,36,263.85869565217394,72
ascii,0.053328734111542306,197,430.0846153846154,188,step two
computer-aided design,0.05335814501152719,198,545.0666666666667,250,step two
cpu,0.053498144846433046,199,547.4222222222222,252,step two
tablet computer,0.053523100129814996,200,547.8421052631579,253,step two
windows xp,0.05363795834015055,37,241.42982456140354,59
html,0.05365784766526623,38,139.95212765957447,8
android (operating system),0.05375784585118064,201,122.53516819571865,26,step two
windows,0.05381920568515548,39,240.14406779661016,58
standard template library,0.05388017269781531,202,553.85,255,step two
exception handling,0.053889620232007204,203,321.00000000000006,117,step two
input/output,0.05390616821653583,40,292.85,93
modular programming,0.05394634726312948,204,554.9634146341464,256,step two
pc magazine,0.054013569025045116,41,205.9673913043478,36
software development,0.05403413478040718,205,556.4404761904761,257,step two
bytecode,0.054459544175782304,206,519.3295454545454,234,step two
algol 68,0.05446530661433363,207,563.6951219512194,260,step two
game engine,0.05448165288680369,208,354.5266666666667,139,step two
windows vista,0.05452545086921287,209,355.55357142857144,140,step two
windows 8,0.05464421066897941,210,458.71551724137925,209,step two
x window system,0.05474431949560797,211,479.0098039215687,217,step two
associative array,0.05475161020749773,212,520.0227272727273,235,step two
wxwidgets,0.054754689083091695,213,568.5641025641025,263,step two
adobe systems,0.05515386999931124,214,575.280487804878,264,step two
lisp (programming language),0.055315487402845004,215,202.44140624999997,65,step two
server (computing),0.05541223933754001,216,579.6276595744681,266,step two
zdnet,0.05548662350744284,42,187.95833333333334,24
64-bit,0.05559196374827452,217,418.85964912280707,180,step two
f sharp (programming language),0.05589144495551515,218,388.94067796610165,166,step two
actionscript,0.05607967532578356,219,504.37777777777785,226,step two
os x mavericks,0.05609519452486168,43,443.1923076923077,177
artificial intelligence,0.05613456665181939,220,550.1849315068492,254,step two
emulator,0.05624288870710632,221,547.2,251,step two
cnet,0.05633208687202239,222,595.1044776119403,269,step two
basic,0.05640438737152892,223,268.8659793814433,94,step two
smalltalk,0.05643079043748214,224,173.27777777777777,52,step two
engadget,0.056543734390047486,44,279.15384615384613,82
qt (toolkit),0.056546746554800506,225,598.7162162162163,272,step two
metadata,0.056694802374534795,226,601.2073170731708,274,step two
microkernel,0.056744200525068414,227,602.0384615384615,275,step two
computerworld,0.05676409331383071,45,313.75925925925924,111
pdf,0.056813540065941595,228,603.2051282051282,276,step two
control flow,0.05682089912074219,229,603.328947368421,277,step two
rss,0.05712008290767109,46,452.84615384615387,181
thread (computing),0.05747279084777478,230,614.2972972972973,283,step two
computer network,0.057508611815222016,231,614.9,285,step two
cbs interactive,0.05765029536237438,47,605.9537037037037,252
wav,0.05771134043635371,48,674.0,278
object pascal,0.057746823764736166,232,334.36764705882354,125,step two
css,0.05789302366747685,233,467.5816326530612,213,step two
syntax highlighting,0.05798442890013178,234,427.9245283018868,185,step two
operator overloading,0.05804780929258346,235,623.9722222222222,287,step two
computer,0.05808111524182277,236,624.5326086956522,288,step two
sourceforge.net,0.05809898847751367,237,624.8333333333333,289,step two
ffmpeg,0.05814180024093295,238,612.472972972973,282,step two
cloud computing,0.058286504710971396,239,627.9883720930233,293,step two
cnet,0.05836711560945336,49,250.31720430107526,66
cascading style sheets,0.058442522158584385,50,276.1923076923077,80
internet explorer 6,0.05857533760722236,51,638.6666666666666,262
32-bit,0.05863964812954901,240,375.09285714285716,156,step two
webkit,0.05875927930903148,241,490.9468085106382,222,step two
application binary interface,0.05883458819913187,242,564.7375000000001,261,step two
iphone,0.0588714461182747,243,451.9179104477612,203,step two
computer algebra system,0.059039518192953416,244,626.6527777777777,291,step two
mozilla public license,0.05910910159878087,245,447.8529411764706,197,step two
wine (software),0.05912862687349582,246,505.33333333333337,227,step two
windows ce,0.059156337744537824,52,462.30769230769226,192
midi,0.05917388522116554,247,642.918918918919,297,step two
classic mac os,0.059189838942031926,53,288.2741935483871,89
raku (programming language),0.059231345632752896,248,643.8857142857144,298,step two
windows 10 mobile,0.0593654357387078,54,476.7307692307692,200
x86,0.059371701977278216,55,468.83870967741933,197
android (operating system),0.05938379601621306,56,145.8167701863354,9
international organization for standardization,0.05950950071685501,249,648.5657894736843,303,step two
file format,0.05962360932112118,250,650.4857142857143,304,step two
iphone,0.059640061400354265,57,190.08333333333334,29
delphi (programming language),0.059906769364564516,251,655.25,308,step two
o'reilly media,0.059914198601086655,252,655.375,309,step two
artificial intelligence,0.060295836562957665,58,428.56363636363636,169
simula,0.06040671328111234,253,663.6617647058823,314,step two
hp-ux,0.060462476256419595,254,664.6,316,step two
tim cook,0.06055086088560298,59,728.3750000000001,305
beos,0.0605666603732946,255,666.3529411764706,318,step two
nvidia,0.06068073148089896,256,538.686274509804,246,step two
typescript,0.06074052352354284,257,607.5945945945947,281,step two
ubuntu (operating system),0.06090368422422557,258,385.875,162,step two
macintosh,0.06095491672370115,259,520.0803571428571,236,step two
kotlin (programming language),0.06096511632236354,260,427.7358490566038,184,step two
ios,0.06124801300798601,60,243.34420289855072,61
sqlite,0.06127946105337176,261,595.0,268,step two
computing platform,0.061287706844162265,262,678.4848484848485,319,step two
cascading style sheets,0.06133275824901159,263,679.2428571428571,320,step two
pc world,0.06134225268708855,61,309.08,104
siri,0.06149884838576785,62,330.09999999999997,120
apache license,0.06157606853774471,264,272.37209302325584,96,step two
computing,0.06165966760343389,265,684.7432432432432,322,step two
hewlett-packard,0.06166080829196173,266,639.6931818181818,296,step two
common lisp,0.061673055955513645,267,211.3826086956522,69,step two
microsoft office,0.0617901230735147,63,176.65853658536585,15
google chrome,0.06181103062501125,64,193.96999999999997,30
windows 98,0.06185068216655415,268,687.9571428571428,326,step two
nokia,0.061881237195603234,269,662.3500000000001,313,step two
classic mac os,0.0619020426868776,270,654.5897435897435,306,step two
openmp,0.06225440810555656,271,694.75,330,step two
xerox alto,0.06235979758336679,65,638.1111111111112,261
x64,0.06243271033901264,272,661.2352941176471,311,step two
ipad,0.062483319248143224,66,236.8695652173913,57
transport layer security,0.06266832271178936,273,701.7142857142858,333,step two
plug-in (computing),0.06267383479417021,274,207.6625,66,step two
java (software platform),0.06269556799419448,275,682.1212121212121,321,step two
go (programming language),0.06271934281188467,276,131.73404255319147,32,step two
javascript,0.06273063767522817,67,150.4140625,10
ia-32,0.06277666424821333,277,190.98920863309354,61,step two
git (software),0.06280083664029132,278,566.0625,262,step two
software bug,0.06284943480835513,279,497.734693877551,224,step two
linker (computing),0.0629332545927659,280,706.1718749999999,337,step two
techcrunch,0.06294600248725274,281,706.3863636363636,338,step two
opencl,0.06297005965616745,282,625.8749999999999,290,step two
process (computing),0.06300782009168285,283,707.4264705882354,339,step two
flash memory,0.06305492224807349,68,381.8428571428571,142
mozilla firefox,0.06320219858307638,284,710.6969696969696,340,step two
monolithic kernel,0.0632627852317233,285,607.3658536585366,280,step two
megapixel,0.06327022190639428,69,500.1724137931034,210
software development kit,0.06329402210639587,70,186.25,21
nokia,0.06331985961118697,71,235.75000000000003,55
public domain,0.06336588660399158,286,631.5263157894736,294,step two
css,0.06340083350587528,72,225.67857142857142,46
ipad,0.06341749112365738,287,687.2124999999999,325,step two
usb,0.0634556585032112,288,714.9615384615383,342,step two
apple lisa,0.0634772904207809,73,740.5,314
gnome,0.06349850732695214,289,368.3529411764706,150,step two
computerworld,0.06352417075913835,290,716.1142857142858,344,step two
instant messaging,0.06353517005901053,291,621.7926829268293,286,step two
computer architecture,0.06357156803953834,292,716.9117647058823,348,step two
cuda,0.06364211279782356,293,576.2948717948718,265,step two
lotus 1-2-3,0.0637026692084884,74,720.0,300
lte (telecommunication),0.0637272504937697,75,708.9333333333333,291
type inference,0.06373305786181703,294,598.3717948717949,271,step two
client (computing),0.06378111621085361,295,720.4374999999999,351,step two
object-oriented,0.06393325704271166,296,654.9264705882354,307,step two
variable (programming),0.06404276898658935,297,688.060606060606,327,step two
microsoft excel,0.06418259967348595,298,540.6511627906976,248,step two
speech recognition,0.0643647794114019,76,515.8571428571429,218
plug-in (computing),0.06444045632203345,77,213.5128205128205,40
instruction set,0.06458369226219984,299,733.9411764705883,354,step two
closed source,0.06460161331383817,300,713.203125,341,step two
algol 60,0.06462270162886517,301,647.0138888888888,302,step two
floating point,0.06467485435178913,302,588.9875,267,step two
ipv6,0.06467541055720463,303,735.4843750000001,355,step two
freeware,0.06467673711436993,78,274.2916666666667,77
macos,0.06467681408058902,79,221.02999999999997,44
association for computing machinery,0.06469367409698817,304,735.7916666666666,356,step two
microsoft office,0.06470759085088426,305,644.2027027027027,299,step two
computer vision,0.06496270251044095,306,740.3181818181818,357,step two
webgl,0.06500612013453258,80,649.8333333333333,270
remote procedure call,0.06507708623026545,307,685.8787878787879,324,step two
mit license,0.06522364828320174,81,495.9736842105263,209
programmer,0.06524206440082018,308,732.6612903225806,352,step two
digital equipment corporation,0.06524497699097699,309,745.0675675675676,358,step two
cdma,0.06540130548334548,82,533.0769230769231,227
word processor,0.06540140690377183,83,247.551724137931,64
world wide web,0.065431310274559,310,748.2027027027027,359,step two
microsoft,0.06556557976108192,84,133.11813186813188,6
portable document format,0.06557551648373827,311,750.6290322580646,361,step two
package manager,0.06558864945668705,312,750.85,362,step two
beos,0.06560363753409597,85,466.4230769230769,193
ms-dos,0.06560466169764642,313,563.6140350877192,259,step two
relational database,0.06564453648755672,314,751.7903225806451,363,step two
awk,0.06564511165425523,315,751.8000000000001,364,step two
photodetector,0.06565373746496507,86,548.0833333333334,233
engadget,0.06584499041772877,316,755.1630434782608,365,step two
intel,0.06590370303809273,87,622.2205882352941,256
os x,0.06591120326931599,88,613.03125,254
gtk+,0.06610756907471131,89,510.5,216
emacs,0.06625634530951924,317,717.3437499999999,349,step two
.net framework,0.06635647664866147,90,275.7571428571428,79
apache license 2.0,0.06636002987563244,318,431.4716981132076,189,step two
mono (software),0.06641770019994164,319,656.6323529411765,310,step two
wired (magazine),0.06653946169400878,91,659.2368421052631,275
icloud,0.0666079254796797,92,504.7692307692308,212
gnu octave,0.06661847325915492,320,638.3285714285714,295,step two
spreadsheet,0.06663765765361135,321,768.4999999999999,372,step two
multi-core processor,0.06666737459969985,322,768.9999999999999,374,step two
mozilla,0.06675319442223374,93,228.45161290322582,49
microsoft windows,0.06681012060307234,94,173.068,14
lwn.net,0.06684270458162203,323,771.9499999999999,376,step two
gtk+,0.0668584794762942,324,398.57017543859655,170,step two
vhdl,0.06695327211551687,325,773.810344827586,377,step two
digital audio workstation,0.06697604739455468,326,774.1935483870967,378,step two
open source,0.067004705517059,327,695.0151515151515,331,step two
windows phone,0.06714387315977444,328,614.439024390244,284,step two
c++11,0.06718804284869419,329,335.0373134328358,127,step two
http cookie,0.06721974354362799,95,429.21428571428567,170
rexx,0.06731602380225243,330,779.9137931034483,382,step two
smalltalk,0.06738202880496055,96,522.4687500000001,225
firmware,0.06745425356859354,97,271.2666666666667,75
nim (programming language),0.0674665916700199,331,704.21875,335,step two
interpreter (computing),0.06749761277592807,332,341.46621621621625,130,step two
pc world,0.06758859992844359,333,784.5000000000001,385,step two
hypertext transfer protocol,0.06768666585053565,334,786.15,387,step two
microsoft word,0.06778871703945329,98,351.57499999999993,131
racket (programming language),0.06783538693794672,335,685.1818181818181,323,step two
symbian os,0.06787956528654063,99,479.20833333333337,202
latex,0.06789987778197716,336,716.25,345,step two
mac os 9,0.06793469322450835,100,597.3000000000001,246
xhtml,0.06795733757902203,101,510.16666666666674,215
syntax (programming languages),0.06795816351010962,337,691.2727272727274,328,step two
digital rights management,0.06796591509241583,338,790.8484848484848,389,step two
hard disk drive,0.06801076064098391,102,411.2608695652174,159
word processor,0.06805713711177237,339,792.3833333333333,390,step two
programming languages,0.0680799908584071,340,792.7678571428573,391,step two
cross-platform,0.06826536338234138,103,281.0,84
iphone 4s,0.06838539438774527,104,822.375,333
windows rt,0.06846262717515758,105,728.5,306
gigabyte,0.0685522878250171,106,468.68965517241384,196
microcontroller,0.06866443324901106,341,786.8281249999999,388,step two
apache software foundation,0.06866477790464878,342,802.6071428571429,395,step two
internet of things,0.06871784387980684,343,803.4999999999999,396,step two
the register,0.06877168611841475,344,720.2,350,step two
hash table,0.06878789096701546,345,804.6785714285714,397,step two
software bug,0.06879885936970981,107,288.75925925925924,90
windows 8.1,0.06891476455561442,108,416.88235294117646,163
fedora (operating system),0.06895024098759954,346,391.7583333333333,168,step two
ada (programming language),0.06911715194591596,347,153.32608695652175,41,step two
browser engine,0.06925487154840629,348,812.5357142857143,401,step two
raspberry pi,0.06931536676008644,349,813.5535714285714,402,step two
computer file,0.06949253392266584,350,816.5344827586206,403,step two
dynamic typing,0.06954572437337575,351,693.2575757575758,329,step two
zip (file format),0.0695789814302167,352,733.3548387096774,353,step two
apache http server,0.0695976777479273,353,818.3035714285716,404,step two
xcode,0.06965470752657096,354,799.0535714285714,392,step two
opera (web browser),0.0697106742981654,355,697.9852941176471,332,step two
mozilla foundation,0.0697572860917485,109,318.7105263157895,115
front and back ends,0.069776647662664,356,821.3148148148148,406,step two
software portability,0.06985699347986628,357,822.6666666666667,407,step two
real-time operating system,0.06999166941852047,358,784.4833333333332,384,step two
wav,0.07001840371408309,359,777.75,381,step two
microphone,0.07002862009712907,110,338.94,125
cygwin,0.07013545227099191,360,827.351851851852,409,step two
bluetooth,0.07040682586556096,111,263.1617647058824,70
executable,0.07042162320696808,361,763.9833333333333,369,step two
php,0.07053970398823484,112,398.19354838709677,152
gpu,0.07064610907358945,362,784.1724137931034,383,step two
transmission control protocol,0.07074576926977771,363,837.6206896551723,411,step two
symbian,0.07077606907388419,113,277.5869565217391,81
widget toolkit,0.0707804200638758,364,838.2037037037037,412,step two
google,0.07082167938139322,114,332.09999999999997,122
wysiwyg,0.07086186650871096,365,839.574074074074,414,step two
usb,0.07088009662164513,115,313.6388888888889,110
liquid crystal display,0.07088138922350908,116,483.24999999999994,203
ipod touch,0.07102972718436233,117,261.0454545454545,69
x64,0.07122221453295602,118,654.3888888888889,272
unified modeling language,0.07134243350281042,366,755.7500000000001,366,step two
chromium (web browser),0.07146418072137745,367,645.4142857142857,301,step two
library (computer science),0.07155197857982099,368,465.3645833333333,212,step two
visual studio,0.07172382727260582,369,854.076923076923,418,step two
reference counting,0.0718152640298012,370,855.6153846153845,419,step two
bash (unix shell),0.07183938003572121,371,528.0,240,step two
firefox,0.0718409284895424,119,186.93000000000004,23
chrome os,0.0719211964896869,120,604.3,251
gizmodo,0.07203861945360299,121,697.3499999999999,284
source code editor,0.07211929124747594,372,860.7307692307692,420,step two
gnu gpl,0.07228376177545663,373,767.2068965517241,371,step two
ibm aix,0.07245646428963398,374,866.4038461538461,422,step two
